subject_id,property_id,property_label,property_description,property_uri,object_id,subject_qid,property_pid,object_qid,reference_uri,reference_supporting_text,reference_date,property_term,subject_type,object_type,subject_term,object_term,prevalence,curation_evidence,curation_date,curator_uri,comments
NCBIGene:358,RO:0002331,involved in,NA,NA,KEGG-path:map04976,Q14905238,P361,Q30039518,NA,NA,NA,participates,gene,pathway,AQP1,Bile secretion,NA,https://monarchinitiative.org/gene/NCBIGene%3A358#pathways,2017-11-16,http://orcid.org/0000-0003-0169-8159,I have only included the pathways from KEGG that seems are not retrievable edges from the Monarch API.
NCBIGene:358,RO:0002331,involved in,NA,NA,KEGG-path:map04964,Q14905238,P361,Q30039529,NA,NA,NA,participates,gene,pathway,AQP1,Proximal tubule bicarbonate reclamation,NA,https://monarchinitiative.org/gene/NCBIGene%3A358#pathways,2017-11-16,http://orcid.org/0000-0003-0169-8159,I have only included the pathways from KEGG that seems are not retrievable edges from the Monarch API.
NCBIGene:358,RO:0002331,involved in,NA,NA,KEGG-path:maphsa04924,Q14905238,P361,NA,NA,NA,NA,participates,gene,pathway,AQP1,Renin secretion,NA,https://monarchinitiative.org/gene/NCBIGene%3A358#pathways,2017-11-16,http://orcid.org/0000-0003-0169-8159,I have only included the pathways from KEGG that seems are not retrievable edges from the Monarch API.
NCBIGene:358,RO:0002205,has gene product,NA,NA,UniProt:P29972,Q14905238,P688,Q2083074,NA,NA,NA,encodes,gene,protein,AQP1,NA,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
NCBIGene:343,RO:0002205,has gene product,NA,NA,UniProt:O94778,Q17830654,P688,Q21106460,NA,NA,NA,encodes,gene,protein,AQP1,NA,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
NCBIGene:359,RO:0002205,has gene product,NA,NA,UniProt:P41181,Q14902527,P688,Q2045854,NA,NA,NA,encodes,gene,protein,AQP1,NA,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
NCBIGene:361,RO:0002205,has gene product,NA,NA,UniProt:P55087,Q14902502,P688,Q3820749,NA,NA,NA,encodes,gene,protein,AQP1,NA,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
NCBIGene:362,RO:0002205,has gene product,NA,NA,UniProt:P55064,Q17831317,P688,Q21106470,NA,NA,NA,encodes,gene,protein,AQP1,NA,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
NCBIGene:363,RO:0002205,has gene product,NA,NA,UniProt:Q13520,Q17831370,P688,Q21106475,NA,NA,NA,encodes,gene,protein,AQP1,NA,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
NCBIGene:4284,RO:0002205,has gene product,NA,NA,UniProt:P30301,Q18029134,P688,Q21122978,NA,NA,NA,encodes,gene,protein,AQP1,NA,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
UniProt:P29972,rdf:type,instance of,NA,NA,InterPro:IPR000425,Q2083074,P31,Q24786770,NA,NA,NA,instance_of,protein,protein family,NA,Major intrinsic protein,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
UniProt:O94778,rdf:type,instance of,NA,NA,InterPro:IPR000425,Q21106460,P31,Q24786770,NA,NA,NA,instance_of,protein,protein family,NA,Major intrinsic protein,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
UniProt:P41181,rdf:type,instance of,NA,NA,InterPro:IPR000425,Q2045854,P31,Q24786770,NA,NA,NA,instance_of,protein,protein family,NA,Major intrinsic protein,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
UniProt:P55087,rdf:type,instance of,NA,NA,InterPro:IPR000425,Q3820749,P31,Q24786770,NA,NA,NA,instance_of,protein,protein family,NA,Major intrinsic protein,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
UniProt:P55064,rdf:type,instance of,NA,NA,InterPro:IPR000425,Q21106470,P31,Q24786770,NA,NA,NA,instance_of,protein,protein family,NA,Major intrinsic protein,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
UniProt:Q13520,rdf:type,instance of,NA,NA,InterPro:IPR000425,Q21106475,P31,Q24786770,NA,NA,NA,instance_of,protein,protein family,NA,Major intrinsic protein,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
UniProt:P30301,rdf:type,instance of,NA,NA,InterPro:IPR000425,Q21122978,P31,Q24786770,NA,NA,NA,instance_of,protein,protein family,NA,Major intrinsic protein,NA,NA,2017-11-16,http://orcid.org/0000-0003-0169-8159,NA
NCBIGene:55768,RO:0002200,has phenotype,NA,NA,DOID:0060728,Q18042037,P2293,Q28024539,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"NGLY1 deficiency (OMIM 610661 and 615273), or NGLY1-CDDG, was first reported in 2012 by Need et al., who, through exome sequencing, identified biallelic mutations in the NGLY1 gene as the cause of disease in one child.",2016-07-07,associates,gene,disease,NGLY1 gene,NGLY1 deficiency,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
HGVS:NM_018297.3:c.1201A>T,GENO:0000418,has affected feature,NA,NA,NCBIGene:55768,Q29016913,P3433,Q18042037,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"NGLY1 deficiency (OMIM 610661 and 615273), or NGLY1-CDDG, was first reported in 2012 by Need et al., who, through exome sequencing, identified biallelic mutations in the NGLY1 gene as the cause of disease in one child. NGLY1 encodes N-glycanase 1, an enzyme involved in the cytosolic degradation of misfolded glycoproteins and other glycoproteins bound for degradation. In the index case, a 3-year-old boy inherited a maternal c.1891delC (p.Q631SNM_018297.3) variant and a paternal c.1201A>T (p.R401*NM_018297.3) variant.",2016-07-07,in_gene,variant,gene,c.1201A>T,NGLY1 gene,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
HGVS:NM_018297.3:c.1201A>T,RO:0002200,has phenotype,NA,NA,DOID:0060728,Q29016913,P2293,Q28024539,https://www.ncbi.nlm.nih.gov/pubmed/27388694,All five individuals carrying the common mutation c.1201A>T were either moderately or severely impaired; those carrying at least one copy had a higher mean score (36) than those without (20.5) (p = 0.0184).,2016-07-07,associates,variant,disease,c.1201A>T,NGLY1 deficiency,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
NCBIGene:55768,RO:0002205,has gene product,NA,NA,UniProt:Q96IV0,Q18042037,P688,Q21119040,https://www.ncbi.nlm.nih.gov/pubmed/27388694,"The cytosolic enzyme N-glycanase 1, encoded by NGLY1, catalyzes cleavage of the B-aspartyl glycosylamine bond of N-linked glycoproteins, releasing intact N-glycans from proteins bound for degradation.",2016-07-07,encodes,gene,protein,NGLY1,N-Glycanase 1,NA,NA,2017-04-11,http://orcid.org/0000-0003-0169-8159,NA
